employee_name,user_id,email,role,business_unit,functional_unit,department,team,supervisor,phoneNum
Chase Jakeem Manning,CJM0970,Chase.Jakeem.Manning@dtaa.com,ElectricalEngineer,1,Manufacturing,ManufacturingEngineering,,Ann Hannah Dickerson,13055380984
Breanna Leila Alexander,BLA0039,Breanna.Leila.Alexander@dtaa.com,ITAdmin,1,Adminstration,Security,ElectronicSecurity,Jaquelyn Yoshi Mckinney,13069141193
Dane Bert Mcfadden,DBM0279,Dane.Bert.Mcfadden@dtaa.com,ProductionLineWorker,1,Manufacturing,Assembly,AssemblyDept,Nadine Anjolie Gregory,13062726046
Anastasia Ava Curry,AAC0070,Anastasia.Ava.Curry@dtaa.com,ChiefEngineer,1,ResearchAndEngineering,Engineering,MaterialsEngineering,Flynn Timothy Tanner,13030622380
Judah John Barker,JJB0371,Judah.John.Barker@dtaa.com,SoftwareEngineer,1,ResearchAndEngineering,SoftwareManagement,Software,Odysseus Finn Shepherd,13090128474
Quentin Benjamin Stout,QBS0449,Quentin.Benjamin.Stout@dtaa.com,Salesman,1,SalesAndMarketing,Sales,RegionalSales,Bo Mira Dillard,13094509576
Doris Harriet Humphrey,DHH0260,Doris.Harriet.Humphrey@dtaa.com,HardwareEngineer,1,ResearchAndEngineering,Engineering,SystemsEngineering,Evan Bevis Colon,13081442463
Edan Quinn Randolph,EQR0340,Edan.Quinn.Randolph@dtaa.com,ChiefEngineer,1,ResearchAndEngineering,Engineering,TestAndEvalualtion,Flynn Timothy Tanner,13070634886
Paula Dorothy Dalton,PDD0188,Paula.Dorothy.Dalton@dtaa.com,PurchasingClerk,1,PurchasingAndContracts,Purchasing,,Jayme Adrienne Jarvis,13027608594
Lana Uma Alexander,LUA0184,Lana.Uma.Alexander@dtaa.com,Manager,1,PurchasingAndContracts,Pricing,,Guy Caesar Finch,13034413424
Hanna Priscilla Strickland,HPS0247,Hanna.Priscilla.Strickland@dtaa.com,ElectricalEngineer,1,ResearchAndEngineering,Engineering,ElectricalEngineering,Jolene Martha Blake,13069153768
Adele Ursa Suarez,AUS0564,Adele.Ursa.Suarez@dtaa.com,ProductionLineWorker,1,Manufacturing,Assembly,AssemblyDept,Herrod Len Parker,13099690041
Ina Karyn Wilkerson,IKW0723,Ina.Karyn.Wilkerson@dtaa.com,Salesman,1,SalesAndMarketing,Sales,RegionalSales,Castor Chaim Combs,13026057788
Maya Iona Huff,MIH0767,Maya.Iona.Huff@dtaa.com,Scientist,1,ResearchAndEngineering,Research,Lab,Emmanuel Casey Wiggins,13072614442
Calvin Asher Nguyen,CAN0178,Calvin.Asher.Nguyen@dtaa.com,Technician,1,SalesAndMarketing,FieldService,RegionalFieldService,Gisela Kelsie Yates,13062596170
Zoe Jena Williams,ZJW0947,Zoe.Jena.Williams@dtaa.com,HumanResourceSpecialist,1,Adminstration,EmployeeRelations,,Ryder Ivan Bowers,13083447911
Gay Kylynn Holden,GKH0643,Gay.Kylynn.Holden@dtaa.com,Physicist,1,ResearchAndEngineering,Research,Lab,Quon Rana Flynn,13082987404
Robert Herrod Walter,RHW0592,Robert.Herrod.Walter@dtaa.com,Salesman,1,SalesAndMarketing,Sales,RegionalSales,Nicole Maris Valentine,13056952318
Halee Morgan Wilkins,HMW0274,Halee.Morgan.Wilkins@dtaa.com,MechanicalEngineer,1,ResearchAndEngineering,Engineering,TestAndEvalualtion,Melissa Ruby Knight,13006639410
Delilah Melissa Boyer,DMB0653,Delilah.Melissa.Boyer@dtaa.com,ComputerScientist,1,ResearchAndEngineering,SoftwareManagement,Software,Gabriel Camden Joseph,13096070762
Russell Len Carpenter,RLC0550,Russell.Len.Carpenter@dtaa.com,ProductionLineWorker,1,Manufacturing,Assembly,AssemblyDept,Herrod Len Parker,13007856120
Camden Calvin Norris,CCN0067,Camden.Calvin.Norris@dtaa.com,AdministrativeAssistant,1,ResearchAndEngineering,Engineering,,Flynn Timothy Tanner,13036805610
Suki Ginger Estes,SGE0112,Suki.Ginger.Estes@dtaa.com,Manager,1,Manufacturing,QualityControl,,Azalia Inez Benton,13008011647
Prescott Chase Lowe,PCL0813,Prescott.Chase.Lowe@dtaa.com,ProductionLineWorker,1,Manufacturing,Assembly,AssemblyDept,Hector Davis Ellison,13036387018
Christian Thomas Copeland,CTC0050,Christian.Thomas.Copeland@dtaa.com,AdministrativeAssistant,1,ResearchAndEngineering,Research,Lab,Evelyn Xena Santana,13053030033
Hamish Keith Hart,HKH0249,Hamish.Keith.Hart@dtaa.com,ElectricalEngineer,1,ResearchAndEngineering,Engineering,ElectricalEngineering,Jolene Martha Blake,13078978681
Oscar Simon Terry,OST0939,Oscar.Simon.Terry@dtaa.com,ProductionLineWorker,1,Manufacturing,Assembly,AssemblyDept,Theodore Upton Barry,13010824134
Kato Rafael Hubbard,KRH0812,Kato.Rafael.Hubbard@dtaa.com,ProductionLineWorker,1,Manufacturing,Assembly,AssemblyDept,Hector Davis Ellison,13083325515
Jerome Alec Wallace,JAW0007,Jerome.Alec.Wallace@dtaa.com,VicePresident,1,SalesAndMarketing,,,Kaden Tarik Giles,13021833747
Autumn Shaeleigh Fox,ASF0328,Autumn.Shaeleigh.Fox@dtaa.com,Technician,1,SalesAndMarketing,FieldService,RegionalFieldService,Gisela Kelsie Yates,13005213926
Robert Harrison Richard,RHR0856,Robert.Harrison.Richard@dtaa.com,Technician,1,SalesAndMarketing,FieldService,RegionalFieldService,Hunter Stephen Slater,13012738591
Allegra Brianna Stanton,ABS0125,Allegra.Brianna.Stanton@dtaa.com,ProductionLineWorker,1,Manufacturing,Assembly,AssemblyDept,Nadine Anjolie Gregory,13086037719
Oleg Ahmed Porter,OAP0953,Oleg.Ahmed.Porter@dtaa.com,ComputerTrainer,1,Adminstration,Training,,Sharon Montana Barnett,13031743458
Kelly Cade Barnes,KCB0534,Kelly.Cade.Barnes@dtaa.com,SoftwareEngineer,1,ResearchAndEngineering,SoftwareManagement,Software,Chava Ursa Dotson,13013627032
Pearl Stella Silva,PSS0935,Pearl.Stella.Silva@dtaa.com,ProductionLineWorker,1,Manufacturing,Assembly,AssemblyDept,Theodore Upton Barry,13022081011
Maxwell Driscoll Gross,MDG0601,Maxwell.Driscoll.Gross@dtaa.com,Technician,1,SalesAndMarketing,FieldService,RegionalFieldService,Amethyst Suki Norris,13014533651
Drake Fletcher French,DFF0273,Drake.Fletcher.French@dtaa.com,Technician,1,ResearchAndEngineering,Engineering,TestAndEvalualtion,Melissa Ruby Knight,13013638503
Mari Jamalia Owen,MJO0963,Mari.Jamalia.Owen@dtaa.com,IndustrialEngineer,1,Manufacturing,IndustrialEngineering,,Desiree Claudia Booth,13096078317
Rogan August Reed,RAR0547,Rogan.August.Reed@dtaa.com,ProductionLineWorker,1,Manufacturing,Assembly,AssemblyDept,Herrod Len Parker,13031916873
McKenzie Unity Tran,MUT0603,McKenzie.Unity.Tran@dtaa.com,Technician,1,SalesAndMarketing,FieldService,RegionalFieldService,Amethyst Suki Norris,13007942625
Nicole Karina Brock,NKB0411,Nicole.Karina.Brock@dtaa.com,ElectricalEngineer,1,ResearchAndEngineering,Engineering,TestAndEvalualtion,Edan Quinn Randolph,13043854805
Ocean Clementine Long,OCL0135,Ocean.Clementine.Long@dtaa.com,Engineer,1,Manufacturing,QualityControl,,Suki Ginger Estes,13014891171
Serina Ginger Nielsen,SGN0512,Serina.Ginger.Nielsen@dtaa.com,Physicist,1,ResearchAndEngineering,Research,Lab,Yeo Xyla Garner,13059046773
Yolanda Quynn Horne,YQH0930,Yolanda.Quynn.Horne@dtaa.com,ProductionLineWorker,1,Manufacturing,Assembly,AssemblyDept,Theodore Upton Barry,13058198855
Dillon Benjamin Valenzuela,DBV0277,Dillon.Benjamin.Valenzuela@dtaa.com,ProductionLineWorker,1,Manufacturing,Assembly,AssemblyDept,Nadine Anjolie Gregory,13002864732
Genevieve Rhoda Barber,GRB0058,Genevieve.Rhoda.Barber@dtaa.com,SoftwareEngineer,1,ResearchAndEngineering,SoftwareManagement,,Vaughan Emery Paul,13062258067
Blake Noble Terrell,BNT0819,Blake.Noble.Terrell@dtaa.com,Salesman,1,SalesAndMarketing,Sales,RegionalSales,Dennis Carson Mendoza,13083225652
Athena Sylvia Russo,ASR0889,Athena.Sylvia.Russo@dtaa.com,Mathematician,1,ResearchAndEngineering,Research,Lab,Kasper Thomas Shelton,13025550556
Jada Quinn Vang,JQV0922,Jada.Quinn.Vang@dtaa.com,ProductionLineWorker,1,Manufacturing,Assembly,AssemblyDept,Theodore Upton Barry,13020307465
Leo Edward Hopkins,LEH0789,Leo.Edward.Hopkins@dtaa.com,ProductionLineWorker,1,Manufacturing,Assembly,AssemblyDept,Hector Davis Ellison,13042604126
Leah Molly Tate,LMT0062,Leah.Molly.Tate@dtaa.com,ComputerProgrammer,1,ResearchAndEngineering,SoftwareManagement,Software,Carl Scott Hooper,13032720890
Theodore Upton Barry,TUB0881,Theodore.Upton.Barry@dtaa.com,AssemblySupervisor,1,Manufacturing,Assembly,AssemblyDept,Gisela Jeanette Watkins,13037975327
Jessamine Zelenia Alvarado,JZA0447,Jessamine.Zelenia.Alvarado@dtaa.com,Salesman,1,SalesAndMarketing,Sales,RegionalSales,Bo Mira Dillard,13086173476
Edan Colton Richards,ECR0818,Edan.Colton.Richards@dtaa.com,ProductionLineWorker,1,Manufacturing,Assembly,AssemblyDept,Hector Davis Ellison,13036844700
Howard Jonathan Contreras,HJC0591,Howard.Jonathan.Contreras@dtaa.com,Salesman,1,SalesAndMarketing,Sales,RegionalSales,Nicole Maris Valentine,13023092942
Azalia Inez Benton,AIB0005,Azalia.Inez.Benton@dtaa.com,VicePresident,1,Manufacturing,,,Kaden Tarik Giles,13026432506
Lance Curran Mathews,LCM0360,Lance.Curran.Mathews@dtaa.com,ComputerScientist,1,ResearchAndEngineering,SoftwareManagement,Software,Odysseus Finn Shepherd,13071793112
Benedict Noah Foreman,BNF0925,Benedict.Noah.Foreman@dtaa.com,ProductionLineWorker,1,Manufacturing,Assembly,AssemblyDept,Theodore Upton Barry,13075212931
Tanya Blaine Ferrell,TBF0641,Tanya.Blaine.Ferrell@dtaa.com,Mathematician,1,ResearchAndEngineering,Research,Lab,Quon Rana Flynn,13095590937
Rudyard Talon Hickman,RTH0015,Rudyard.Talon.Hickman@dtaa.com,Director,1,Adminstration,Security,,Janna Aretha Woodward,13043500848
Oscar Camden Graham,OCG0047,Oscar.Camden.Graham@dtaa.com,Scientist,1,ResearchAndEngineering,Research,,Jena Vanna White,13033095998
MacKenzie Yael Beasley,MYB0285,MacKenzie.Yael.Beasley@dtaa.com,ProductionLineWorker,1,Manufacturing,Assembly,AssemblyDept,Nadine Anjolie Gregory,13042249247
Uta Adele Powers,UAP0214,Uta.Adele.Powers@dtaa.com,ITAdmin,1,Adminstration,Security,ElectronicSecurity,Jaquelyn Yoshi Mckinney,13001158058
Hedwig Angelica Jacobs,HAJ0975,Hedwig.Angelica.Jacobs@dtaa.com,MechanicalEngineer,1,Manufacturing,ManufacturingEngineering,,Ann Hannah Dickerson,13094465297
Robert Leonard Hernandez,RLH0287,Robert.Leonard.Hernandez@dtaa.com,ProductionLineWorker,1,Manufacturing,Assembly,AssemblyDept,Nadine Anjolie Gregory,13026826844
Julie Cecilia Arnold,JCA0841,Julie.Cecilia.Arnold@dtaa.com,Salesman,1,SalesAndMarketing,Sales,RegionalSales,Dennis Carson Mendoza,13010356826
Griffin Ishmael Moore,GIM1000,Griffin.Ishmael.Moore@dtaa.com,PurchasingClerk,1,PurchasingAndContracts,Pricing,,Lana Uma Alexander,13015367446
Noelani Rebekah Farmer,NRF0610,Noelani.Rebekah.Farmer@dtaa.com,Technician,1,SalesAndMarketing,FieldService,RegionalFieldService,Amethyst Suki Norris,13040784009
Kiona Alyssa Gilmore,KAG0412,Kiona.Alyssa.Gilmore@dtaa.com,MechanicalEngineer,1,ResearchAndEngineering,Engineering,TestAndEvalualtion,Edan Quinn Randolph,13073384493
Ira Rooney Franklin,IRF0104,Ira.Rooney.Franklin@dtaa.com,ElectricalEngineer,1,ResearchAndEngineering,Engineering,TestAndEvalualtion,Melissa Ruby Knight,13021364545
Ahmed Merrill Rodgers,AMR0208,Ahmed.Merrill.Rodgers@dtaa.com,SecurityGuard,1,Adminstration,Security,BuildingSecurity,Edward Benjamin Buck,13013247615
Miranda Natalie Tate,MNT0552,Miranda.Natalie.Tate@dtaa.com,ProductionLineWorker,1,Manufacturing,Assembly,AssemblyDept,Herrod Len Parker,13075247869
Moses Quincy Finch,MQF0815,Moses.Quincy.Finch@dtaa.com,ProductionLineWorker,1,Manufacturing,Assembly,AssemblyDept,Hector Davis Ellison,13084072847
Rhoda Pamela Mcleod,RPM0498,Rhoda.Pamela.Mcleod@dtaa.com,Technician,1,SalesAndMarketing,FieldService,RegionalFieldService,William Vernon Booth,13039726982
Bruno Jakeem England,BJE0520,Bruno.Jakeem.England@dtaa.com,Physicist,1,ResearchAndEngineering,Research,Lab,Yeo Xyla Garner,13042964669
Edward Plato Parks,EPP0584,Edward.Plato.Parks@dtaa.com,Salesman,1,SalesAndMarketing,Sales,RegionalSales,Nicole Maris Valentine,13002395298
Rose Shay Bishop,RSB0102,Rose.Shay.Bishop@dtaa.com,TestEngineer,1,ResearchAndEngineering,Engineering,TestAndEvalualtion,Melissa Ruby Knight,13061672235
Mercedes Stephanie Calderon,MSC0284,Mercedes.Stephanie.Calderon@dtaa.com,ProductionLineWorker,1,Manufacturing,Assembly,AssemblyDept,Nadine Anjolie Gregory,13057493933
Kenyon Salvador May,KSM0561,Kenyon.Salvador.May@dtaa.com,ProductionLineWorker,1,Manufacturing,Assembly,AssemblyDept,Herrod Len Parker,13077336813
Alyssa Kimberly Pratt,AKP0783,Alyssa.Kimberly.Pratt@dtaa.com,SoftwareEngineer,1,ResearchAndEngineering,SoftwareManagement,Software,India Karina Todd,13053552740
Odessa Susan Bowman,OSB0976,Odessa.Susan.Bowman@dtaa.com,ElectricalEngineer,1,Manufacturing,ManufacturingEngineering,,Ann Hannah Dickerson,13060120839
Suki Linda Odom,SLO0231,Suki.Linda.Odom@dtaa.com,ComputerProgrammer,1,ResearchAndEngineering,SoftwareManagement,Software,Carl Scott Hooper,13033237443
Andrew Tobias Briggs,ATB0235,Andrew.Tobias.Briggs@dtaa.com,MechanicalEngineer,1,ResearchAndEngineering,Engineering,MechanicalEngineering,Benjamin Gannon Rodriquez,13067049112
Sloane John Peters,SJP0744,Sloane.John.Peters@dtaa.com,Technician,1,SalesAndMarketing,FieldService,RegionalFieldService,Porter Hop Livingston,13009897796
Callie Glenna Hodge,CGH0679,Callie.Glenna.Hodge@dtaa.com,ProductionLineWorker,1,Manufacturing,Assembly,AssemblyDept,Abraham Perry Reyes,13038772794
Kitra Jenette Patel,KJP0844,Kitra.Jenette.Patel@dtaa.com,Salesman,1,SalesAndMarketing,Sales,RegionalSales,Dennis Carson Mendoza,13000605086
Maggy Aspen Pitts,MAP0557,Maggy.Aspen.Pitts@dtaa.com,ProductionLineWorker,1,Manufacturing,Assembly,AssemblyDept,Herrod Len Parker,13028013303
Tanisha Chelsea Preston,TCP0378,Tanisha.Chelsea.Preston@dtaa.com,SystemsEngineer,1,ResearchAndEngineering,Engineering,SystemsEngineering,Grady Calvin Morin,13066672372
Roth Malcolm Yang,RMY0747,Roth.Malcolm.Yang@dtaa.com,Technician,1,SalesAndMarketing,FieldService,RegionalFieldService,Porter Hop Livingston,13080652054
Natalie Quyn Wilkins,NQW0750,Natalie.Quyn.Wilkins@dtaa.com,Technician,1,SalesAndMarketing,FieldService,RegionalFieldService,Porter Hop Livingston,13099824297
Destiny Kelsie Fletcher,DKF0483,Destiny.Kelsie.Fletcher@dtaa.com,Technician,1,SalesAndMarketing,FieldService,RegionalFieldService,William Vernon Booth,13065422528
Silas Hop Walker,SHW0128,Silas.Hop.Walker@dtaa.com,ProductionLineWorker,1,Manufacturing,Assembly,AssemblyDept,Nadine Anjolie Gregory,13096462361
Armando James Ortega,AJO0389,Armando.James.Ortega@dtaa.com,ElectricalEngineer,1,ResearchAndEngineering,Engineering,SystemsEngineering,Grady Calvin Morin,13085223065
Nicole Quincy Townsend,NQT0979,Nicole.Quincy.Townsend@dtaa.com,Statistician,1,Manufacturing,QualityControl,,Suki Ginger Estes,13081751633
Taylor Hedley Yates,THY0079,Taylor.Hedley.Yates@dtaa.com,ElectricalEngineer,1,ResearchAndEngineering,Engineering,ElectricalEngineering,Jolene Martha Blake,13044406309
Chantale Brenda Boone,CBB0609,Chantale.Brenda.Boone@dtaa.com,Technician,1,SalesAndMarketing,FieldService,RegionalFieldService,Amethyst Suki Norris,13028223672
Remedios Hyacinth Montgomery,RHM0081,Remedios.Hyacinth.Montgomery@dtaa.com,ElectricalEngineer,1,ResearchAndEngineering,Engineering,ElectricalEngineering,Jolene Martha Blake,13058277103
Roth Laith Pena,RLP0021,Roth.Laith.Pena@dtaa.com,AdministrativeAssistant,1,Adminstration,EmployeeRelations,,Ryder Ivan Bowers,13081818505
Trevor Armand Greene,TAG0114,Trevor.Armand.Greene@dtaa.com,IndustrialEngineer,1,Manufacturing,IndustrialEngineering,,Desiree Claudia Booth,13005947040
Dora Kiara Pearson,DKP0403,Dora.Kiara.Pearson@dtaa.com,TestEngineer,1,ResearchAndEngineering,Engineering,TestAndEvalualtion,Edan Quinn Randolph,13041748183
Kyle Ashton James,KAJ0233,Kyle.Ashton.James@dtaa.com,MechanicalEngineer,1,ResearchAndEngineering,Engineering,MechanicalEngineering,Benjamin Gannon Rodriquez,13068671417
Stephen Nissim Graves,SNG0943,Stephen.Nissim.Graves@dtaa.com,HumanResourceSpecialist,1,Adminstration,Personnel,,Benjamin Griffin Mclaughlin,13032496605
Rhiannon Daphne Alston,RDA0843,Rhiannon.Daphne.Alston@dtaa.com,Salesman,1,SalesAndMarketing,Sales,RegionalSales,Dennis Carson Mendoza,13041290107
Nelle Jade Mcdowell,NJM0628,Nelle.Jade.Mcdowell@dtaa.com,Technician,1,SalesAndMarketing,FieldService,RegionalFieldService,Amethyst Suki Norris,13023619231
Caleb Leroy Mccoy,CLM0315,Caleb.Leroy.Mccoy@dtaa.com,Salesman,1,SalesAndMarketing,Sales,RegionalSales,Hanna Miranda Lindsay,13027561235
Virginia Rama Leach,VRL0117,Virginia.Rama.Leach@dtaa.com,ElectricalEngineer,1,Manufacturing,ManufacturingEngineering,,Ann Hannah Dickerson,13055989005
Kai Alexandra Carroll,KAC0037,Kai.Alexandra.Carroll@dtaa.com,SecurityGuard,1,Adminstration,Security,BuildingSecurity,Edward Benjamin Buck,13008899415
Daniel Phillip Bauer,DPB0652,Daniel.Phillip.Bauer@dtaa.com,ComputerProgrammer,1,ResearchAndEngineering,SoftwareManagement,Software,Gabriel Camden Joseph,13029957553
Brenna Martha Russell,BMR0341,Brenna.Martha.Russell@dtaa.com,AssemblySupervisor,1,Manufacturing,Assembly,AssemblyDept,Gisela Jeanette Watkins,13083372302
Shaeleigh Stella Chambers,SSC0749,Shaeleigh.Stella.Chambers@dtaa.com,Technician,1,SalesAndMarketing,FieldService,RegionalFieldService,Porter Hop Livingston,13099619700
George Kaseem Cline,GKC0892,George.Kaseem.Cline@dtaa.com,Scientist,1,ResearchAndEngineering,Research,Lab,Kasper Thomas Shelton,13009550807
Lillith Sade England,LSE0108,Lillith.Sade.England@dtaa.com,AdministrativeAssistant,1,Manufacturing,,,Azalia Inez Benton,13059076443
Cade Ignatius Mooney,CIM0473,Cade.Ignatius.Mooney@dtaa.com,Salesman,1,SalesAndMarketing,Sales,RegionalSales,Bo Mira Dillard,13041967289
Wyatt Aristotle Romero,WAR0440,Wyatt.Aristotle.Romero@dtaa.com,ProductionLineWorker,1,Manufacturing,Assembly,AssemblyDept,Brenna Martha Russell,13081601646
Herrod Len Parker,HLP0506,Herrod.Len.Parker@dtaa.com,AssemblySupervisor,1,Manufacturing,Assembly,AssemblyDept,Gisela Jeanette Watkins,13053863272
Yvonne Adena Porter,YAP0560,Yvonne.Adena.Porter@dtaa.com,ProductionLineWorker,1,Manufacturing,Assembly,AssemblyDept,Herrod Len Parker,13025858108
Angelica Shelly Ortega,ASO0737,Angelica.Shelly.Ortega@dtaa.com,Technician,1,SalesAndMarketing,FieldService,RegionalFieldService,Porter Hop Livingston,13072065576
Emerald Glenna Lester,EGL0836,Emerald.Glenna.Lester@dtaa.com,Salesman,1,SalesAndMarketing,Sales,RegionalSales,Dennis Carson Mendoza,13067391808
Dieter Kendall Shaffer,DKS0893,Dieter.Kendall.Shaffer@dtaa.com,Mathematician,1,ResearchAndEngineering,Research,Lab,Kasper Thomas Shelton,13085336303
Joshua Taylor Sims,JTS0917,Joshua.Taylor.Sims@dtaa.com,ProductionLineWorker,1,Manufacturing,Assembly,AssemblyDept,Theodore Upton Barry,13008471641
Cullen Arden Wolf,CAW0115,Cullen.Arden.Wolf@dtaa.com,IndustrialEngineer,1,Manufacturing,IndustrialEngineering,,Desiree Claudia Booth,13015671440
Jennifer Teagan Colon,JTC0313,Jennifer.Teagan.Colon@dtaa.com,Salesman,1,SalesAndMarketing,Sales,RegionalSales,Hanna Miranda Lindsay,13013560276
Ross Tanner Clements,RTC0816,Ross.Tanner.Clements@dtaa.com,ProductionLineWorker,1,Manufacturing,Assembly,AssemblyDept,Hector Davis Ellison,13030449768
Omar Christopher Calderon,OCC0316,Omar.Christopher.Calderon@dtaa.com,Salesman,1,SalesAndMarketing,Sales,RegionalSales,Hanna Miranda Lindsay,13020845999
Samuel Tad Acevedo,STA0107,Samuel.Tad.Acevedo@dtaa.com,ElectricalEngineer,1,ResearchAndEngineering,Engineering,TestAndEvalualtion,Melissa Ruby Knight,13043794535
Beck Colin Dean,BCD0482,Beck.Colin.Dean@dtaa.com,Technician,1,SalesAndMarketing,FieldService,RegionalFieldService,William Vernon Booth,13050692734
Colby Howard Petersen,CHP0446,Colby.Howard.Petersen@dtaa.com,Salesman,1,SalesAndMarketing,Sales,RegionalSales,Bo Mira Dillard,13063314488
Lamar Oleg Donaldson,LOD0682,Lamar.Oleg.Donaldson@dtaa.com,ProductionLineWorker,1,Manufacturing,Assembly,AssemblyDept,Abraham Perry Reyes,13005150912
Joseph Colorado Lester,JCL0430,Joseph.Colorado.Lester@dtaa.com,ProductionLineWorker,1,Manufacturing,Assembly,AssemblyDept,Brenna Martha Russell,13035344892
Urielle Alexis Bartlett,UAB0016,Urielle.Alexis.Bartlett@dtaa.com,AdministrativeAssistant,1,Adminstration,Personnel,,Benjamin Griffin Mclaughlin,13033757882
Uta Jayme Brennan,UJB0444,Uta.Jayme.Brennan@dtaa.com,Salesman,1,SalesAndMarketing,Sales,RegionalSales,Bo Mira Dillard,13062400986
Ezra Chadwick Sargent,ECS0954,Ezra.Chadwick.Sargent@dtaa.com,ManagementTrainer,1,Adminstration,Training,,Sharon Montana Barnett,13002075860
Shoshana Portia Mendoza,SPM0388,Shoshana.Portia.Mendoza@dtaa.com,HardwareEngineer,1,ResearchAndEngineering,Engineering,SystemsEngineering,Grady Calvin Morin,13070135329
Joy Brynne Reese,JBR0891,Joy.Brynne.Reese@dtaa.com,Physicist,1,ResearchAndEngineering,Research,Lab,Kasper Thomas Shelton,13026394512
Chancellor Roth Manning,CRM0666,Chancellor.Roth.Manning@dtaa.com,ProductionLineWorker,1,Manufacturing,Assembly,AssemblyDept,Abraham Perry Reyes,13043395318
Odysseus Finn Shepherd,OFS0338,Odysseus.Finn.Shepherd@dtaa.com,Manager,1,ResearchAndEngineering,SoftwareManagement,Software,Vaughan Emery Paul,13072695855
Zeus Edward Dawson,ZED0676,Zeus.Edward.Dawson@dtaa.com,ProductionLineWorker,1,Manufacturing,Assembly,AssemblyDept,Abraham Perry Reyes,13035080545
Christopher Murphy Dodson,CMD0693,Christopher.Murphy.Dodson@dtaa.com,ProductionLineWorker,1,Manufacturing,Assembly,AssemblyDept,Abraham Perry Reyes,13071469220
Amaya Amy Patterson,AAP0946,Amaya.Amy.Patterson@dtaa.com,HumanResourceSpecialist,1,Adminstration,Personnel,,Benjamin Griffin Mclaughlin,13014977178
Joel Ezra Parks,JEP0793,Joel.Ezra.Parks@dtaa.com,ProductionLineWorker,1,Manufacturing,Assembly,AssemblyDept,Hector Davis Ellison,13086315788
Brenden Rahim Sweeney,BRS0802,Brenden.Rahim.Sweeney@dtaa.com,ProductionLineWorker,1,Manufacturing,Assembly,AssemblyDept,Hector Davis Ellison,13046676538
Irene Beatrice Cotton,IBC0664,Irene.Beatrice.Cotton@dtaa.com,ProductionLineWorker,1,Manufacturing,Assembly,AssemblyDept,Abraham Perry Reyes,13045508822
Paki Jason Emerson,PJE0714,Paki.Jason.Emerson@dtaa.com,Salesman,1,SalesAndMarketing,Sales,RegionalSales,Castor Chaim Combs,13028131721
Autumn Sara Snider,ASS0569,Autumn.Sara.Snider@dtaa.com,Salesman,1,SalesAndMarketing,Sales,RegionalSales,Nicole Maris Valentine,13092200913
Roanna Jillian Johnson,RJJ0788,Roanna.Jillian.Johnson@dtaa.com,SoftwareEngineer,1,ResearchAndEngineering,SoftwareManagement,Software,India Karina Todd,13077834562
Adria Sasha Wise,ASW0536,Adria.Sasha.Wise@dtaa.com,ComputerScientist,1,ResearchAndEngineering,SoftwareManagement,Software,Chava Ursa Dotson,13017927125
Griffin Erich Underwood,GEU0919,Griffin.Erich.Underwood@dtaa.com,ProductionLineWorker,1,Manufacturing,Assembly,AssemblyDept,Theodore Upton Barry,13085878638
Uta Jamalia Bullock,UJB0529,Uta.Jamalia.Bullock@dtaa.com,ComputerProgrammer,1,ResearchAndEngineering,SoftwareManagement,Software,Chava Ursa Dotson,13079752345
Salvador Quinn Price,SQP0157,Salvador.Quinn.Price@dtaa.com,Statistician,1,SalesAndMarketing,MarketAnalysis,,Josephine Sylvia Parsons,13067058583
Cyrus Jin Park,CJP0221,Cyrus.Jin.Park@dtaa.com,Physicist,1,ResearchAndEngineering,Research,Lab,Evelyn Xena Santana,13029123398
Sarah Penelope Duffy,SPD0384,Sarah.Penelope.Duffy@dtaa.com,SystemsEngineer,1,ResearchAndEngineering,Engineering,SystemsEngineering,Grady Calvin Morin,13087066529
Vance Joshua Booth,VJB0695,Vance.Joshua.Booth@dtaa.com,Salesman,1,SalesAndMarketing,Sales,RegionalSales,Castor Chaim Combs,13096558745
Palmer Nathaniel Church,PNC0141,Palmer.Nathaniel.Church@dtaa.com,Manager,1,Finance,FinancialPlanning,,Buffy Meredith Giles,13053828926
Beck Cain Marsh,BCM0382,Beck.Cain.Marsh@dtaa.com,SystemsEngineer,1,ResearchAndEngineering,Engineering,SystemsEngineering,Grady Calvin Morin,13084325350
Vera Nicole Hardin,VNH0910,Vera.Nicole.Hardin@dtaa.com,SoftwareEngineer,1,ResearchAndEngineering,SoftwareManagement,Software,Zelenia Charlotte Lamb,13010813738
Wing Aidan Waters,WAW0242,Wing.Aidan.Waters@dtaa.com,ElectricalEngineer,1,ResearchAndEngineering,Engineering,ElectricalEngineering,Jolene Martha Blake,13074211073
Adele Carol Banks,ACB0393,Adele.Carol.Banks@dtaa.com,SystemsEngineer,1,ResearchAndEngineering,Engineering,SystemsEngineering,Grady Calvin Morin,13079181877
Castor Cruz Curtis,CCC0192,Castor.Cruz.Curtis@dtaa.com,Statistician,1,PurchasingAndContracts,Pricing,,Lana Uma Alexander,13092578279
James Harrison Wynn,JHW0820,James.Harrison.Wynn@dtaa.com,Salesman,1,SalesAndMarketing,Sales,RegionalSales,Dennis Carson Mendoza,13035518879
Hector Martin Daugherty,HMD0974,Hector.Martin.Daugherty@dtaa.com,ElectricalEngineer,1,Manufacturing,ManufacturingEngineering,,Ann Hannah Dickerson,13096816055
